
2024/02/18 (18:45:58) | ===> btop++ v.1.3.2
2024/02/18 (18:45:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/18 (18:45:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/02 (15:31:24) | ===> btop++ v.1.3.2
2024/03/02 (15:31:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/02 (15:31:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/02 (18:27:11) | ===> btop++ v.1.3.2
2024/03/02 (18:27:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/02 (18:27:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported
